"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"TotalWorkingYears5","230","5",26,1711,16.1963763880771,8.06102519612953,14,15.3739956172389,5.9304,1,38,37,0.855250260850248,-0.216650780576203,0.194879103845201
"TotalWorkingYears6","231","6",26,1074,25.0903165735568,5.70281721818367,26,25.2988372093023,4.4478,5,37,32,-0.581010878000057,1.20376585110533,0.174015250685528
"TotalWorkingYears7","232","7",26,1484,14.6590296495957,6.4741546962374,13,13.9705387205387,5.9304,0,40,40,1.06391598519446,1.33314583368429,0.168060682129718
"TotalWorkingYears8","233","8",26,4202,8.07877201332699,4.80212914136106,8,7.75252825698989,4.4478,0,38,38,0.709788828481256,0.861105674730544,0.074080825153853
"TotalWorkingYears9","234","9",26,3971,8.1581465625787,4.83721623940629,8,7.77903682719547,4.4478,0,34,34,0.81416864410413,1.16029278132452,0.076761872229304
"TrainingTimesLastYear1","235","1",27,4340,2.84815668202765,1.29182149615732,3,2.775633640553,1.4826,0,6,6,0.472272922733808,0.299949640278355,0.019609099140686
"TrainingTimesLastYear2","236","2",27,1200,2.46083333333333,1.26549089087382,2,2.43333333333333,1.4826,0,6,6,0.407464140778236,0.913253130058852,0.036531575325151
"TrainingTimesLastYear3","237","3",27,1313,2.74333587204874,1.16755692296093,3,2.63843958135109,1.4826,0,6,6,0.79259121927247,0.942275200247611,0.032221496000879
"TrainingTimesLastYear4","238","4",27,4237,2.697663441114,1.20352281028608,3,2.63196697139487,1.4826,0,6,6,0.484584123957945,1.19811887749757,0.018489496886965
"TrainingTimesLastYear5","239","5",27,1711,2.86791350087668,1.31748219273964,3,2.75675675675676,1.4826,0,6,6,0.702341386711909,0.542716379336175,0.031850756300376
"TrainingTimesLastYear6","240","6",27,1074,2.86778398510242,1.02768087610746,3,2.73953488372093,1.4826,1,6,5,0.832110404482224,-0.026748264254135,0.031358561643945
"TrainingTimesLastYear7","241","7",27,1484,2.7756064690027,1.35983145056907,3,2.70707070707071,1.4826,0,6,6,0.551464019680154,0.176766789319115,0.035299465627057
"TrainingTimesLastYear8","242","8",27,4202,2.83222275107092,1.31971997198364,3,2.75193337299227,1.4826,0,6,6,0.611657465969673,0.321170335278797,0.020358874494754
"TrainingTimesLastYear9","243","9",27,3971,2.88768572148073,1.38414081706162,3,2.82625118035883,1.4826,0,6,6,0.476186106746366,0.036101582920357,0.021964955728274
"WorkLifeBalance1","244","1",28,4340,2.75,0.733071216608248,3,2.76555299539171,0,1,4,3,-0.523108068413591,0.246696102184362,0.011127594800376
"WorkLifeBalance2","245","2",28,1200,2.85166666666667,0.559694801459873,3,2.85625,0,1,4,3,-0.489284781832237,1.09958613982605,0.016156997214345
"WorkLifeBalance3","246","3",28,1313,2.86671744097487,0.736502297536385,3,2.89248334919125,0,1,4,3,-0.494384425491337,0.273023401867667,0.02032552363659
"WorkLifeBalance4","247","4",28,4237,2.80269058295964,0.705945566198206,3,2.82247124741964,0,1,4,3,-0.642586676263211,0.638174730199423,0.01084531031488
"WorkLifeBalance5","248","5",28,1711,2.7802454704851,0.71792924153384,3,2.7954711468225,0,1,4,3,-0.557206045216916,0.402361236157126,0.017356279605919
"WorkLifeBalance6","249","6",28,1074,2.73277467411546,0.762779493011657,3,2.73837209302326,0,1,4,3,-0.289549097511681,-0.182157572091153,0.023275384711783
"WorkLifeBalance7","250","7",28,1484,2.72035040431267,0.63231980276344,3,2.74074074074074,0,1,4,3,-0.54131991653814,0.500809980907086,0.016414204226277
"WorkLifeBalance8","251","8",28,4202,2.70537839124227,0.722221579959292,3,2.74628197501487,0,1,4,3,-0.673276108299976,0.386092117159972,0.011141468505393
"WorkLifeBalance9","252","9",28,3971,2.74288592294132,0.683096839047841,3,2.73969153289267,0,1,4,3,-0.439742892036187,0.30133285575356,0.01084007612727
"YearsAtCompany1","253","1",29,4340,5.49170506912442,4.18892132338804,5,5.00460829493087,4.4478,0,21,21,1.15193373672672,1.50597743033122,0.063585389906568
